pressure fraction   pressure [df. units]M [Ms]              R [km]              
0.00012269          1.0221e+33          0.181115            21.4356             
0.000122916         1.02399e+33         0.181098            21.4332             
0.000123143         1.02588e+33         0.181081            21.4308             
0.00012337          1.02777e+33         0.181064            21.4284             
0.000123597         1.02966e+33         0.181047            21.426              
0.000123825         1.03156e+33         0.18103             21.4235             
0.000124053         1.03346e+33         0.181013            21.421              
0.000124282         1.03537e+33         0.180996            21.4185             
0.000124511         1.03728e+33         0.180979            21.416              
0.000124741         1.03919e+33         0.180962            21.4135             
0.000124971         1.04111e+33         0.180945            21.4109             
0.000125201         1.04303e+33         0.180928            21.4083             
0.000125432         1.04495e+33         0.180911            21.4057             
0.000125663         1.04688e+33         0.180894            21.4031             
0.000125895         1.04881e+33         0.180877            21.4004             
0.000126127         1.05074e+33         0.18086             21.3978             
0.00012636          1.05268e+33         0.180843            21.3951             
0.000126593         1.05462e+33         0.180825            21.3924             
0.000126826         1.05656e+33         0.180808            21.3896             
0.00012706          1.05851e+33         0.180791            21.3869             
0.000127294         1.06046e+33         0.180774            21.3841             
0.000127529         1.06242e+33         0.180757            21.3813             
0.000127764         1.06438e+33         0.18074             21.3784             
0.000128            1.06634e+33         0.180724            21.3756             
0.000128236         1.06831e+33         0.180707            21.3727             
0.000128472         1.07028e+33         0.18069             21.3698             
0.000128709         1.07225e+33         0.180673            21.3668             
0.000128947         1.07423e+33         0.180657            21.3639             
0.000129184         1.07621e+33         0.18064             21.3609             
0.000129423         1.07819e+33         0.180623            21.3579             
0.000129661         1.08018e+33         0.180607            21.3548             
0.0001299           1.08217e+33         0.18059             21.3517             
0.00013014          1.08417e+33         0.180574            21.3486             
0.00013038          1.08617e+33         0.180558            21.3455             
0.00013062          1.08817e+33         0.180542            21.3423             
0.000130861         1.09018e+33         0.180525            21.3392             
0.000131102         1.09219e+33         0.180509            21.336              
0.000131344         1.0942e+33          0.180494            21.3327             
0.000131586         1.09622e+33         0.180478            21.3294             
0.000131829         1.09824e+33         0.180462            21.3262             
0.000132072         1.10027e+33         0.180447            21.3228             
0.000132316         1.10229e+33         0.180431            21.3195             
0.00013256          1.10433e+33         0.180416            21.3161             
0.000132804         1.10636e+33         0.1804              21.3127             
0.000133049         1.1084e+33          0.180385            21.3092             
0.000133294         1.11045e+33         0.18037             21.3058             
0.00013354          1.1125e+33          0.180355            21.3023             
0.000133786         1.11455e+33         0.180341            21.2988             
0.000134033         1.1166e+33          0.180326            21.2952             
0.00013428          1.11866e+33         0.180312            21.2916             
0.000134528         1.12072e+33         0.180297            21.288              
0.000134776         1.12279e+33         0.180283            21.2844             
0.000135024         1.12486e+33         0.180269            21.2808             
0.000135273         1.12693e+33         0.180255            21.2771             
0.000135523         1.12901e+33         0.180242            21.2734             
0.000135773         1.13109e+33         0.180228            21.2696             
0.000136023         1.13318e+33         0.180215            21.2659             
0.000136274         1.13527e+33         0.180201            21.2621             
0.000136525         1.13736e+33         0.180188            21.2582             
0.000136777         1.13946e+33         0.180175            21.2544             
0.000137029         1.14156e+33         0.180162            21.2505             
0.000137282         1.14367e+33         0.18015             21.2466             
0.000137535         1.14578e+33         0.180137            21.2427             
0.000137788         1.14789e+33         0.180125            21.2387             
0.000138042         1.15e+33            0.180113            21.2347             
0.000138297         1.15212e+33         0.180101            21.2307             
0.000138552         1.15425e+33         0.180089            21.2267             
0.000138808         1.15638e+33         0.180077            21.2226             
0.000139063         1.15851e+33         0.180066            21.2186             
0.00013932          1.16065e+33         0.180054            21.2144             
0.000139577         1.16279e+33         0.180043            21.2103             
0.000139834         1.16493e+33         0.180032            21.2061             
0.000140092         1.16708e+33         0.180022            21.2019             
0.00014035          1.16923e+33         0.180011            21.1977             
0.000140609         1.17139e+33         0.180001            21.1934             
0.000140868         1.17355e+33         0.17999             21.1892             
0.000141128         1.17571e+33         0.17998             21.1849             
0.000141388         1.17788e+33         0.17997             21.1805             
0.000141649         1.18005e+33         0.179961            21.1762             
0.00014191          1.18223e+33         0.179951            21.1718             
0.000142172         1.18441e+33         0.179942            21.1674             
0.000142434         1.18659e+33         0.179933            21.1629             
0.000142697         1.18878e+33         0.179924            21.1585             
0.00014296          1.19097e+33         0.179915            21.154              
0.000143223         1.19317e+33         0.179907            21.1494             
0.000143488         1.19537e+33         0.179898            21.1449             
0.000143752         1.19757e+33         0.17989             21.1403             
0.000144017         1.19978e+33         0.179882            21.1358             
0.000144283         1.20199e+33         0.179874            21.1311             
0.000144549         1.20421e+33         0.179867            21.1265             
0.000144815         1.20643e+33         0.179859            21.1218             
0.000145082         1.20865e+33         0.179852            21.1171             
0.00014535          1.21088e+33         0.179845            21.1124             
0.000145618         1.21311e+33         0.179838            21.1076             
0.000145886         1.21535e+33         0.179832            21.1029             
0.000146155         1.21759e+33         0.179826            21.0981             
0.000146425         1.21984e+33         0.179819            21.0932             
0.000146695         1.22209e+33         0.179813            21.0884             
0.000146965         1.22434e+33         0.179808            21.0835             
0.000147236         1.2266e+33          0.179802            21.0786             
0.000147508         1.22886e+33         0.179797            21.0737             
0.00014778          1.23113e+33         0.179792            21.0688             
0.000148052         1.2334e+33          0.179787            21.0638             
0.000148325         1.23567e+33         0.179782            21.0588             
0.000148599         1.23795e+33         0.179777            21.0538             
0.000148873         1.24023e+33         0.179773            21.0488             
0.000149147         1.24252e+33         0.179769            21.0437             
0.000149422         1.24481e+33         0.179765            21.0386             
0.000149698         1.2471e+33          0.179761            21.0335             
0.000149974         1.2494e+33          0.179758            21.0284             
0.000150251         1.25171e+33         0.179754            21.0233             
0.000150528         1.25402e+33         0.179751            21.0181             
0.000150805         1.25633e+33         0.179748            21.0129             
0.000151083         1.25864e+33         0.179746            21.0077             
0.000151362         1.26097e+33         0.179743            21.0025             
0.000151641         1.26329e+33         0.179741            20.9972             
0.000151921         1.26562e+33         0.179738            20.992              
0.000152201         1.26795e+33         0.179737            20.9867             
0.000152481         1.27029e+33         0.179735            20.9814             
0.000152763         1.27263e+33         0.179733            20.976              
0.000153044         1.27498e+33         0.179732            20.9707             
0.000153326         1.27733e+33         0.179731            20.9653             
0.000153609         1.27969e+33         0.17973             20.9599             
0.000153892         1.28205e+33         0.179729            20.9545             
0.000154176         1.28441e+33         0.179728            20.9491             
0.00015446          1.28678e+33         0.179728            20.9436             
0.000154745         1.28915e+33         0.179728            20.9382             
0.000155031         1.29153e+33         0.179728            20.9327             
0.000155316         1.29391e+33         0.179728            20.9272             
0.000155603         1.2963e+33          0.179728            20.9217             
0.00015589          1.29869e+33         0.179729            20.9161             
0.000156177         1.30108e+33         0.17973             20.9106             
0.000156465         1.30348e+33         0.179731            20.905              
0.000156754         1.30588e+33         0.179732            20.8994             
0.000157043         1.30829e+33         0.179733            20.8938             
0.000157332         1.3107e+33          0.179735            20.8881             
0.000157622         1.31312e+33         0.179736            20.8825             
0.000157913         1.31554e+33         0.179738            20.8768             
0.000158204         1.31797e+33         0.17974             20.8711             
0.000158496         1.3204e+33          0.179743            20.8654             
0.000158788         1.32283e+33         0.179745            20.8597             
0.000159081         1.32527e+33         0.179748            20.8539             
0.000159374         1.32772e+33         0.179751            20.8481             
0.000159668         1.33016e+33         0.179754            20.8423             
0.000159963         1.33262e+33         0.179757            20.8365             
0.000160258         1.33507e+33         0.17976             20.8307             
0.000160553         1.33754e+33         0.179764            20.8249             
0.000160849         1.34e+33            0.179768            20.819              
0.000161146         1.34247e+33         0.179772            20.8131             
0.000161443         1.34495e+33         0.179776            20.8072             
0.000161741         1.34743e+33         0.17978             20.8013             
0.000162039         1.34991e+33         0.179785            20.7953             
0.000162338         1.3524e+33          0.17979             20.7893             
0.000162637         1.3549e+33          0.179795            20.7834             
0.000162937         1.35739e+33         0.1798              20.7774             
0.000163237         1.3599e+33          0.179806            20.7713             
0.000163538         1.36241e+33         0.179811            20.7653             
0.00016384          1.36492e+33         0.179817            20.7592             
0.000164142         1.36743e+33         0.179823            20.7531             
0.000164445         1.36996e+33         0.179829            20.747              
0.000164748         1.37248e+33         0.179836            20.7409             
0.000165052         1.37501e+33         0.179842            20.7348             
0.000165356         1.37755e+33         0.179849            20.7286             
0.000165661         1.38009e+33         0.179856            20.7224             
0.000165966         1.38263e+33         0.179863            20.7162             
0.000166272         1.38518e+33         0.179871            20.71               
